08Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
658,Bryce Salvador\salvabr01,31,NJD,D,8,0,0,0,0,11,0.2,0,0,0,0,0,0,0,0,,167,20:54,13,14,0,0,
659,Sergei Samsonov\samsose01,29,TOT,LW,61,14,22,36,-1,16,3.5,11,3,0,2,15,7,0,109,12.8,970,15:54,17,12,0,3,0.0
659,Sergei Samsonov\samsose01,29,CAR,LW,38,14,18,32,6,10,3.9,11,3,0,2,12,6,0,71,19.7,686,18:02,17,11,0,2,0.0
659,Sergei Samsonov\samsose01,29,CHI,LW,23,0,4,4,-7,6,-0.4,0,0,0,0,3,1,0,38,0.0,284,12:21,0,1,0,1,0.0
660,Mikael Samuelsson\samuemi01,31,DET,RW,73,11,29,40,21,26,4.4,8,3,0,1,21,8,0,249,4.4,1187,16:16,21,74,6,8,42.9
661,Geoff Sanderson\sandege01,35,EDM,LW,41,3,10,13,-7,16,0.7,3,0,0,0,8,1,1,40,7.5,416,10:09,7,8,12,11,52.2
662,Cory Sarich\saricco01,29,CGY,D,80,2,5,7,2,135,2.3,2,0,0,0,3,0,2,57,3.5,1506,18:49,64,157,0,0,
663,Miroslav Satan\satanmi01,33,NYI,RW,80,16,25,41,-11,39,3.5,11,5,0,4,17,8,0,171,9.4,1466,18:19,22,19,19,18,51.4
664,Kurt Sauer\sauerku01,27,COL,D,54,1,5,6,17,41,3.1,1,0,0,0,5,0,0,28,3.6,1009,18:41,59,48,0,0,
665,Marc Savard\savarma01,30,BOS,C,74,15,63,78,3,66,7.6,11,4,0,2,34,27,2,196,7.7,1519,20:31,11,38,802,753,51.6
666,Peter Schaefer\schaepe01,30,BOS,LW,63,9,17,26,4,18,2.3,9,0,0,0,11,6,0,91,9.9,943,14:58,16,32,3,4,42.9
667,Mathieu Schneider\schnema01,38,ANA,D,65,12,27,39,22,50,9.3,7,5,0,2,15,12,0,139,8.6,1449,22:18,56,78,0,0,
668,Rob Schremp\schrero01,21,EDM,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,14,6:57,0,0,0,1,0.0
669,Christoph Schubert\schubch01,25,OTT,D,82,8,16,24,7,64,4.3,7,1,0,0,10,6,0,137,5.8,1113,13:34,36,187,1,3,25.0
670,Jeff Schultz\schulje02,21,WSH,D,72,5,13,18,12,28,4.4,5,0,0,0,13,0,0,36,13.9,1303,18:05,90,61,1,0,100.0
671,Nick Schultz\schulni01,25,MIN,D,81,2,13,15,9,42,4.6,2,0,0,0,12,0,1,52,3.8,1634,20:10,147,101,0,0,
