Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,TOI,ATOI,BLK,HIT,FOW,FOL
Matt Moulson\moulsma01,27,NYI,LW,82,31,22,53,-10,24,6.2,22,9,0,3,16,6,0,237,1547,18:52,47,84,5,4
Chris Mueller\muellch01,24,NSH,C,15,0,3,3,0,2,0.1,0,0,0,0,3,0,0,7,130,8:38,0,19,43,46
Marcel Mueller\muellma01,22,TOR,C,3,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,5,30,10:07,0,7,0,1
Andrew Murray\murraan01,29,CBJ,C,29,4,4,8,2,4,0.8,4,0,0,1,3,0,1,48,330,11:23,14,77,19,22
Douglas Murray\murrado01,30,SJS,D,73,1,13,14,5,44,3.3,1,0,0,0,12,1,0,102,1432,19:37,140,203,0,0
Jan Mursak\mursaja01,23,DET,LW,19,1,0,1,-3,4,-0.2,1,0,0,0,0,0,0,20,156,8:12,3,14,3,3
Jake Muzzin\muzzija01,21,LAK,D,11,0,1,1,-2,0,0.2,0,0,0,0,1,0,0,8,151,13:43,2,22,0,0
Tyler Myers\myersty01,20,BUF,D,80,10,27,37,0,40,6.5,7,3,0,5,16,11,0,122,1797,22:27,98,107,0,0
Brendon Nash\nashbr01,23,MTL,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,20,10:12,6,1,0,0
Rick Nash\nashri01,26,CBJ,LW,75,32,34,66,2,34,8.1,26,6,0,7,26,8,0,305,1420,18:56,19,91,7,17
James Neal\nealja01,23,TOT,LW,79,22,23,45,7,66,5.4,17,5,0,3,18,5,0,212,1382,17:30,26,159,8,15
Chris Neil\neilch01,31,OTT,RW,80,6,10,16,-14,210,0.3,6,0,0,2,10,0,0,105,1021,12:46,21,258,3,3
Greg Nemisz\nemisgr01,20,CGY,C,6,0,1,1,-1,0,0,0,0,0,0,1,0,0,5,31,5:06,2,1,1,2
Kris Newbury\newbukr01,28,NYR,C,11,0,1,1,-1,35,-0.1,0,0,0,0,1,0,0,6,84,7:38,1,19,34,22
Scott Nichol\nichosc01,36,SJS,C,56,4,3,7,-3,50,0.1,4,0,0,0,3,0,0,61,546,9:45,24,114,287,197
Rob Niedermayer\niedero01,36,BUF,C,71,5,14,19,-8,22,0.7,5,0,0,1,14,0,0,80,906,12:46,21,37,129,147
Nino Niederreiter\niedeni01,18,NYI,RW,9,1,1,2,-1,8,0.1,1,0,0,0,1,0,0,12,122,13:36,1,16,0,0
Frans Nielsen\nielsfr01,26,NYI,C,71,13,31,44,13,38,4.7,6,0,7,1,22,8,1,156,1261,17:46,62,22,439,512
Nikita Nikitin\nikitni01,24,STL,D,41,1,8,9,1,10,1.7,1,0,0,0,4,4,0,46,672,16:24,52,40,0,0
Matt Niskanen\niskama01,24,TOT,D,63,1,9,10,-3,50,2,1,0,0,0,4,5,0,77,1041,16:32,66,122,0,0
Andreas Nodl\nodlan01,23,PHI,RW,67,11,11,22,14,16,2.4,9,1,1,2,11,0,0,100,889,13:16,25,111,11,8
Maxim Noreau\noreama01,23,MIN,D,5,0,0,0,-1,0,0,0,0,0,0,0,0,0,8,71,14:17,4,2,0,0
Eric Nystrom\nystrer01,27,MIN,LW,82,4,8,12,-16,30,-0.7,3,1,0,0,8,0,0,83,1091,13:19,31,169,45,86
Jim O'Brien\obrieji01,22,OTT,C,6,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,11,58,9:40,0,5,8,8
Shane O'Brien\obriesh01,27,NSH,D,80,2,7,9,1,83,2.9,2,0,0,0,7,0,0,50,1369,17:07,80,164,0,0
Ryan O'Byrne\obyrnry01,26,TOT,D,67,0,10,10,-7,75,1.4,0,0,0,0,10,0,0,45,1351,20:09,131,179,0,0
Sean O'Donnell\odonnse01,39,PHI,D,81,1,17,18,8,87,3.2,1,0,0,0,16,0,1,34,1259,15:33,76,53,0,0
Ryan O'Marra\omarrry01,23,EDM,C,21,1,4,5,-2,13,0.2,1,0,0,0,3,1,0,13,231,11:01,9,41,75,103
Cal O'Reilly\oreilca01,24,NSH,C,38,6,12,18,4,2,1.7,5,1,0,1,9,3,0,44,642,16:54,13,5,231,266
Ryan O'Reilly\oreilry01,19,COL,C,74,13,13,26,-7,16,1.7,10,2,1,0,10,2,1,119,1188,16:03,31,53,531,494
Patrick O'Sullivan\osullpa01,25,TOT,C,31,2,6,8,-2,4,0.4,2,0,0,0,3,3,0,50,378,12:11,4,15,20,31
Evan Oberg\obergev01,22,VAN,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,9:50,1,2,0,0
Johnny Oduya\oduyajo01,29,ATL,D,82,2,15,17,-15,22,2.3,2,0,0,0,11,4,0,90,1699,20:43,148,64,0,0
Mattias Ohlund\ohlunma01,34,TBL,D,72,0,5,5,-7,70,1.3,0,0,0,0,4,1,0,39,1348,18:43,136,135,0,0
Kyle Okposo\okposky01,22,NYI,RW,38,5,15,20,3,40,1.8,5,0,0,2,10,5,0,72,630,16:35,16,31,36,51
Rostislav Olesz\oleszro01,25,FLA,C,44,6,11,17,-1,8,1.5,5,1,0,1,11,0,0,71,611,13:53,19,68,2,8
Mark Olver\olverma01,23,COL,C,18,2,7,9,-2,18,0.7,2,0,0,0,7,0,0,25,214,11:53,8,27,12,13
Linus Omark\omarkli01,23,EDM,LW,51,5,22,27,-16,26,1.4,4,1,0,0,15,7,0,76,783,15:21,19,13,3,5
Victor Oreskovich\oreskvi01,24,VAN,D,16,0,3,3,1,8,0.5,0,0,0,0,3,0,0,19,126,7:54,7,28,1,1
Brooks Orpik\orpikbr01,30,PIT,D,63,1,12,13,12,66,4,1,0,0,0,9,0,3,56,1316,20:53,94,194,1,0
Colton Orr\orrco01,28,TOR,RW,46,2,0,2,-1,128,0,2,0,0,1,0,0,0,14,233,5:04,9,46,0,1
Jed Ortmeyer\ortmeje01,32,MIN,RW,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,5,38,9:24,0,4,0,0
T.J. Oshie\oshietj01,24,STL,C,49,12,22,34,10,15,3.9,8,3,1,3,16,6,0,103,940,19:11,40,71,100,127
Steve Ott\ottst01,28,DAL,C,82,12,20,32,-9,183,2.1,7,3,2,4,11,7,2,120,1407,17:09,44,252,644,494
Alex Ovechkin\ovechal01,25,WSH,LW,79,32,53,85,24,41,11.1,25,7,0,11,36,17,0,367,1688,21:22,23,239,6,12
Nathan Oystrick\oystrna01,28,STL,D,9,1,2,3,1,9,0.6,0,1,0,0,2,0,0,11,110,12:10,5,6,0,0
Magnus Paajarvi\paajama01,19,EDM,LW,80,15,19,34,-13,16,2.6,12,3,0,0,13,6,0,180,1231,15:23,25,22,1,4
Max Pacioretty\pacioma01,22,MTL,LW,37,14,10,24,-1,39,3.2,7,7,0,2,9,1,0,112,588,15:54,13,67,0,1
Samuel Pahlsson\pahlssa01,33,CBJ,C,82,7,13,20,-13,30,0.1,6,0,1,1,13,0,0,108,1258,15:20,49,162,675,623
Daniel Paille\paillda01,26,BOS,LW,43,6,7,13,3,28,1.3,5,0,1,0,7,0,0,48,486,11:18,17,24,0,0
Kyle Palmieri\palmiky01,19,ANA,C,10,1,0,1,-1,0,0,1,0,0,0,0,0,0,10,87,8:41,1,5,0,0
Nick Palmieri\palmini01,21,NJD,RW,43,9,8,17,9,6,2.5,8,1,0,2,7,1,0,66,616,14:20,8,36,2,0
Aaron Palushaj\palusaa01,21,MTL,RW,3,0,0,0,1,2,0,0,0,0,0,0,0,0,3,26,8:31,1,3,0,1
Adam Pardy\pardyad01,26,CGY,D,30,1,6,7,3,24,1.5,1,0,0,0,5,1,0,36,441,14:41,44,42,0,0
Ryan Parent\parenry01,23,VAN,D,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,3,56,13:54,7,4,0,0
