Player Photo,NHL Player,Games,Penalties,Minors,Penalty Minutes,PIM/Game,fWHR,scaled
"<a href=""http://www.espn.com/nhl/player/_/id/2179""><img src=""../NHL/images2179.png""></a>",Chris Kunitz,56,6,4,23,0.4,2.103896104,0.787172012
"<a href=""http://www.espn.com/nhl/player/_/id/2194""><img src=""../NHL/images2194.png""></a>",Chris Thorburn,1,0,0,0,0,1.746835443,0.653577887
"<a href=""http://www.espn.com/nhl/player/_/id/3067870""><img src=""../NHL/images3067870.png""></a>",Chris Tierney,81,9,8,26,0.3,2.347826087,0.878438332
"<a href=""http://www.espn.com/nhl/player/_/id/2590833""><img src=""../NHL/images2590833.png""></a>",Chris Wagner,76,17,13,51,0.7,2.098591549,0.785187314
"<a href=""http://www.espn.com/nhl/player/_/id/3069440""><img src=""../NHL/images3069440.png""></a>",Christian Djoos,45,2,2,4,0.1,2.291666667,0.857426304
"<a href=""http://www.espn.com/nhl/player/_/id/3115035""><img src=""../NHL/images3115035.png""></a>",Christian Dvorak,20,1,1,2,0.1,2.219178082,0.830304725
"<a href=""http://www.espn.com/nhl/player/_/id/3904170""><img src=""../NHL/images3904170.png""></a>",Christian Fischer,71,12,11,27,0.4,2.295774648,0.858963304
"<a href=""http://www.espn.com/nhl/player/_/id/3024855""><img src=""../NHL/images3024855.png""></a>",Christian Folin,45,12,11,27,0.6,2.027027027,0.758411473
"<a href=""http://www.espn.com/nhl/player/_/id/3942086""><img src=""../NHL/images3942086.png""></a>",Christian Jaros,61,12,11,27,0.4,2.378787879,0.890022676
"<a href=""http://www.espn.com/nhl/player/_/id/3775""><img src=""../NHL/images3775.png""></a>",Claude Giroux,82,12,12,24,0.3,1.906666667,0.713378685
"<a href=""http://www.espn.com/nhl/player/_/id/4024857""><img src=""../NHL/images4024857.png""></a>",Clayton Keller,82,11,10,24,0.3,2.342857143,0.876579203
"<a href=""http://www.espn.com/nhl/player/_/id/2976843""><img src=""../NHL/images2976843.png""></a>",Cody Ceci,74,8,7,18,0.2,2.132352941,0.797819128
"<a href=""http://www.espn.com/nhl/player/_/id/5237""><img src=""../NHL/images5237.png""></a>",Cody Eakin,78,8,8,16,0.2,2.027027027,0.758411473
"<a href=""http://www.espn.com/nhl/player/_/id/3530""><img src=""../NHL/images3530.png""></a>",Cody McLeod,38,19,11,67,1.8,1.972222222,0.737906274
"<a href=""http://www.espn.com/nhl/player/_/id/3069528""><img src=""../NHL/images3069528.png""></a>",Colby Cave,53,8,8,16,0.3,2.245901639,0.840303334
"<a href=""http://www.espn.com/nhl/player/_/id/2590796""><img src=""../NHL/images2590796.png""></a>",Colin Miller,65,22,22,44,0.7,2.014084507,0.753569033
"<a href=""http://www.espn.com/nhl/player/_/id/3900259""><img src=""../NHL/images3900259.png""></a>",Colin White,71,12,12,24,0.3,2.257575758,0.844671202
"<a href=""http://www.espn.com/nhl/player/_/id/5366""><img src=""../NHL/images5366.png""></a>",Colin Wilson,65,4,4,8,0.1,2.161764706,0.808823529
"<a href=""http://www.espn.com/nhl/player/_/id/3069341""><img src=""../NHL/images3069341.png""></a>",Colton Parayko,80,6,5,15,0.2,2.242424242,0.839002268
"<a href=""http://www.espn.com/nhl/player/_/id/4985""><img src=""../NHL/images4985.png""></a>",Colton Sceviour,59,2,0,15,0.3,1.896103896,0.709426628
"<a href=""http://www.espn.com/nhl/player/_/id/2993474""><img src=""../NHL/images2993474.png""></a>",Colton Sissons,75,10,9,23,0.3,2.149253731,0.804142553
